id,name,lat,lon,rest_count
2168,Sint-Dominicuskerk,51.21420578,4.425388585,821
305,Kapel van het Allerheiligste Sacrament,51.20925194,4.409604975,805
669,Heilige Geestkerk,51.20580481,4.410730328,805
247,Onze-Lieve-Vrouw-ter-Sneeuwkerk,51.21642159,4.434120929,797
2175,Heilige Familie en Sint-Corneliuskerk,51.21088502,4.433730383,789
2176,Sint-Willibrorduskerk,51.21966737,4.432286918,787
559,Heilig-Hartkerk,51.22089878,4.42228923,784
2183,Sint-Norbertuskerk,51.2068747,4.431036819,783
1110,Sint-Joriskerk,51.21262023,4.404722072,780
1092,Zusters Karmelietessen,51.21368082,4.403243522,776
154,Sint-Hubertuskerk,51.19908499,4.424140125,769
1047,Sint-Jacobskerk,51.22013181,4.410574211,763
1104,Kapucijnenklooster,51.22161862,4.414649073,763
699,Sint-Walburgiskerk,51.21043024,4.396004201,753
1096,Basiliek van het Heilig Hart,51.19707989,4.411547693,751
1076,Sint-Catharinakerk,51.22295724,4.414514329,747
354,Sint-Andrieskerk,51.2164812,4.397969838,743
1132,Sint-Annakapel,51.22174919,4.407413114,742
1705,Sint-Amanduskerk,51.22631686,4.423659622,741
1080,0,51.22033251,4.403685795,738
1095,Sint-Carolus Borromeuskerk,51.22097723,4.404705978,738
2164,Protestants Evangelische kerk,51.2236224,4.412219136,736
346,Cathedral of Our Lady,51.22032067,4.401294395,731
2161,0,51.19399575,4.410125593,728
2166,Sint-Antoniuskerk,51.22520297,4.413007251,726
2174,Sint-Janskerk,51.21529614,4.44180881,726
2165,Sint-Laurentiuskerk,51.198659,4.403265552,725
2177,Klooster en kapel van de zusters Franciscanessen,51.22336531,4.438563218,724
93,Sint-Eligiuskerk,51.22533567,4.43527381,718
731,Sint-Annakerk,51.22080455,4.441732192,713
814,Sint Michielskerk,51.20520074,4.393356421,709
2179,Sint-Pauluskerk,51.22392239,4.401346471,706
493,Sint-Willibrorduskerk,51.19273603,4.420993727,705
1106,0,51.19948653,4.394946057,694
202,Sint-Lambertuskerk,51.23177905,4.4281696,680
1800,Heilige Drievuldigheidskerk,51.20271519,4.443659589,623
6,Sint-Catharinakerk,51.19299686,4.379620139,542
