id,name,lat,lon,rest_count
669,Heilige Geestkerk,51.20580481,4.410730328,573
1104,Kapucijnenklooster,51.22161862,4.414649073,561
1076,Sint-Catharinakerk,51.22295724,4.414514329,557
2175,Heilige Familie en Sint-Corneliuskerk,51.21088502,4.433730383,556
2168,Sint-Dominicuskerk,51.21420578,4.425388585,550
1110,Sint-Joriskerk,51.21262023,4.404722072,550
247,Onze-Lieve-Vrouw-ter-Sneeuwkerk,51.21642159,4.434120929,549
2176,Sint-Willibrorduskerk,51.21966737,4.432286918,548
305,Kapel van het Allerheiligste Sacrament,51.20925194,4.409604975,546
2164,Protestants Evangelische kerk,51.2236224,4.412219136,543
2166,Sint-Antoniuskerk,51.22520297,4.413007251,542
1705,Sint-Amanduskerk,51.22631686,4.423659622,541
2183,Sint-Norbertuskerk,51.2068747,4.431036819,539
1095,Sint-Carolus Borromeuskerk,51.22097723,4.404705978,535
154,Sint-Hubertuskerk,51.19908499,4.424140125,535
1132,Sint-Annakapel,51.22174919,4.407413114,534
559,Heilig-Hartkerk,51.22089878,4.42228923,533
1092,Zusters Karmelietessen,51.21368082,4.403243522,532
1047,Sint-Jacobskerk,51.22013181,4.410574211,531
699,Sint-Walburgiskerk,51.21043024,4.396004201,526
2165,Sint-Laurentiuskerk,51.198659,4.403265552,525
1096,Basiliek van het Heilig Hart,51.19707989,4.411547693,524
354,Sint-Andrieskerk,51.2164812,4.397969838,524
1080,0,51.22033251,4.403685795,518
346,Cathedral of Our Lady,51.22032067,4.401294395,518
1106,0,51.19948653,4.394946057,510
93,Sint-Eligiuskerk,51.22533567,4.43527381,503
2161,0,51.19399575,4.410125593,497
814,Sint Michielskerk,51.20520074,4.393356421,496
2177,Klooster en kapel van de zusters Franciscanessen,51.22336531,4.438563218,494
2179,Sint-Pauluskerk,51.22392239,4.401346471,493
2174,Sint-Janskerk,51.21529614,4.44180881,492
731,Sint-Annakerk,51.22080455,4.441732192,491
202,Sint-Lambertuskerk,51.23177905,4.4281696,467
493,Sint-Willibrorduskerk,51.19273603,4.420993727,451
1800,Heilige Drievuldigheidskerk,51.20271519,4.443659589,339
764,0,51.23020077,4.448404148,338
511,Sint-Fredeganduskerk,51.22091072,4.454928453,317
2178,Xaveriuskerk,51.21317806,4.451508368,310
368,Saint Nicholas' Church,51.05396769,3.722955552,302
2402,Sint-Barbaracollege,51.04895844,3.724352196,299
498,Sint-Machariuskerk,51.05434334,3.736487482,299
298,Saint James' Church,51.05654622,3.727652208,299
2406,Kerk Paters Karmelieten,51.057038,3.716592937,298
2398,0,51.05773123,3.714559698,298
1978,Nieuwen Bosch,51.04812378,3.736176236,298
1933,Moederhuis van de zusters der Kindsheid Jesus,51.0542709,3.727749125,298
1923,Sint-Annakerk,51.048799,3.735018042,298
1968,LUCA campus Sint-Lucas Architectuur,51.05409881,3.713911614,297
2403,0,51.05354518,3.711897535,296
38,Saint Michael's Church,51.05350319,3.719796213,296
2396,Stadsmuseum Gent,51.04404736,3.716968387,295
1986,Leeuwenhok,51.0580912,3.71604148,295
1976,St Stephen's Church,51.05924803,3.720392202,295
1980,0,51.04418233,3.724083951,294
1947,Kapel Sint-Jozef,51.0511517,3.714697138,294
1932,Regenboogkerk,51.04803865,3.742356097,294
1926,0,51.04308545,3.719740433,294
341,Saint Bavo Cathedral,51.05299579,3.727199683,294
2411,Sint-Godelievekapel,51.04594117,3.736924846,293
2384,Onze-Lieve-Vrouw ter Hoyekerk,51.04595746,3.736327066,293
182,Sint-Martinuskerk,51.05036483,3.703443208,293
2407,Psychiatrisch Ziekenhuis Sint-Jan de Deo,51.06266289,3.723753562,292
2399,Cultuurkapel Sint-Vincent,51.05997387,3.717110695,292
2397,Baudelokapel,51.0575934,3.728688709,292
1991,0,51.05374402,3.727172395,292
1936,Sint-Elisabethkerk,51.05701648,3.712307742,292
2410,0,51.04597408,3.739833258,291
1972,Ziekenhuis Toevlucht van Maria Middelares,51.04778486,3.712951356,291
1949,Sint-Salvatorkerk,51.06381702,3.729788626,291
1975,Onze-Lieve-Vrouw Sint-Pieterskerk,51.04243255,3.727416366,290
1964,Klooster van de arme klaren-coletinnen,51.05737184,3.714557373,290
336,Sint-Jozefskerk,51.0629447,3.710605171,290
2171,Blijde-Boodschapkerk,51.23309144,4.449895524,289
2421,Heilig Hartkerk,51.05402209,3.749637561,286
1985,Blaisantkerk,51.06637863,3.72175098,285
2404,Kapel Sint-Antonius van Padua,51.05671939,3.746635045,284
423,Begijnhofkerk Sint-Elisabeth,51.0569538,3.747730529,280
2162,Christus Koningkerk,51.18712064,4.391469427,279
1943,Sint-Pauluskerk,51.03924306,3.713173909,279
1935,0,51.04247782,3.74505935,278
282,Sint-Jan-Baptistkerk,51.05887434,3.703699707,278
592,0,51.04471615,3.698152652,277
6,Sint-Catharinakerk,51.19299686,4.379620139,275
526,Onze-Lieve-Vrouw van het Heilig Hartkerk,51.20983038,4.452842367,274
1940,Sint-Coletakerk,51.034317,3.726666633,270
1938,Sint-Lievenskerk,51.03723565,3.742854307,268
1941,0,51.06940932,3.731723001,260
1769,0,51.18813396,4.382976412,259
1993,Clemenspoort,51.03366073,3.706429483,253
1983,Sint-Vincentiuskerk,51.06860595,3.709144927,250
748,Sint-Amanduskapel,51.06296254,3.749788693,248
80,Sint-Amanduskerk,51.06262099,3.748772135,248
927,Sint-Pauluskerk,51.22239157,4.460576221,244
763,Heilig-Sacramentskerk,51.19471969,4.442751806,243
1927,Heilige Simon en Judas-Thaddeuskerk,51.04490323,3.759402996,239
2400,Psychiatrisch Centrum Dr. Guislain,51.06697838,3.703663983,233
264,Onze-Lieve-Vrouw Middelares en Sint-Lodewijk,51.18668616,4.426231615,230
617,Sint-Theresia van het Kind Jezuskerk,51.06330122,3.692138247,226
2418,Sint-Pieters-buitenkerk,51.02959274,3.716486772,220
676,Sint-Bartholomeuskerk,51.2415758,4.440458077,219
51,0,51.07644338,3.72268103,212
2182,De Verrezen Heer,51.18829291,4.435374035,209
1128,0,51.1957278,4.451564824,202
1966,Sint-Theresia van Avillakerk,51.07716093,3.730563989,196
577,Sint-Rochuskerk,51.20501,4.465062639,192
276,Sint-Jacobskerk,50.88053753,4.691153855,191
2150,Sint-Pieterskerk,50.87952613,4.701238905,189
784,Sint-Antonius van Paduakerk,50.87215243,4.7138123,189
2491,Sint-Michielskerk,50.8762801,4.701034524,188
2097,KADOC,50.87499978,4.704302456,188
590,Sint-Jozefskerk,51.1966223,4.45998718,188
474,Amerikaans College,50.87317063,4.699705091,188
688,Abdijkerk Sint-Jan Evangelist,50.86477727,4.717628983,185
1689,Kapel Blauwput,50.88515692,4.720215051,184
530,0,50.88391666,4.697558203,180
2490,Onze-Lieve-Vrouw Middelareskerk,50.88510733,4.709710203,179
2149,Sint-Geertruiabdij,50.88413514,4.699255853,179
2101,0,50.88143694,4.688538643,179
1650,Onze-Lieve-Vrouw van Altijddurende Bijstandkerk,51.23022224,4.459647158,179
1541,Sancta Maria Kapel,50.87676644,4.705258819,179
853,Onze-Lieve-Vrouw-van-Troostkerk,50.86051822,4.707443074,179
500,Sint-Jozefskerk,50.87688691,4.7111938,179
267,Sint-Antoniuskapel,50.87597311,4.698383771,179
310,Onze-Lieve-Vrouw van de Rozenkranskapel,50.87523291,4.707540265,178
2086,Zwartzustersklooster,50.87298402,4.697981043,177
1802,Onbevlekt Hart van Mariakerk,50.87625601,4.678462538,177
1708,Sint-Kwintenskerk,50.87001001,4.698551557,177
1542,Sint-Jan De Doperkerk,50.87138837,4.697479774,177
2095,Sint-Franciscuskerk,50.87123203,4.723477558,176
1839,Campus Arenberg I,50.86280133,4.687771218,175
1543,Heilig-Hartkerk,50.88437384,4.722157095,174
377,Sint-Lambertuskerk,50.86398489,4.69309012,172
1712,VBS Ter Bank Egenhoven,50.87423875,4.672616145,171
344,Sint-Martinuskerk,50.8968818,4.703264755,171
1842,Sint-Theresia van het Kind Jezuskerk,50.84142964,4.279705061,167
1957,Basisschool Pius X,51.05626464,3.765339438,164
1671,"Building Z, NCIA",50.87331223,4.430146007,163
2151,Residentie Lerkeveld,50.85925787,4.686139812,160
1989,Christus Koningkerk,51.02302294,3.71903338,160
2098,Abdijkerk,50.89178669,4.73613147,159
337,Sint-Godelieve kerk,51.07863648,3.713194639,159
1637,Sint-Stefaanskerk,50.86948057,4.450553204,157
1125,WZC Sint-Anna,51.17970814,4.428578906,155
1715,Heilige Sacramentskerk,51.24824216,4.432862357,150
433,Onze-Lieve-Vrouw van de Rozenkranskerk,51.17930938,4.39094794,150
1121,H.Damiaankerk,51.17654836,4.412618321,149
1963,Heilig Hartkerk,51.0722832,3.694602332,148
1620,Heilige Familiekerk,50.87403071,4.285043723,148
1653,Sint-Rumolduskerk,51.22350573,4.469772015,147
1126,Medisch Instituut Sint-Augustinus,51.17485842,4.417233066,140
1088,Pius X-kerk,51.1771979,4.422814397,139
392,Sint-Pancratiuskerk,50.86232134,4.466342301,138
1117,0,51.20793347,4.474009391,137
1676,Sint-Niklaaskerk,50.78691463,4.316574486,133
1497,0,50.86418624,4.463589102,128
1546,Sint-Theresia,51.17778398,4.436167468,127
1535,The Link,50.83182209,4.471482377,122
1587,Heilig-Hartkerk,51.2226294,4.480430223,121
2152,jeugdhuis De Bar,50.88455473,4.662897925,118
1925,Sint-Bernadettekerk,51.07578339,3.751869477,116
1948,Zorgcentrum Heiveld,51.06763466,3.76158663,115
1611,Sint-Bavokerk,51.17045886,4.402969054,112
1103,Heilige-Geestkerk,51.18401742,4.367757718,112
1083,Sint-Lodewijkskerk,51.1782387,4.453723619,112
708,Sint-Amanduskerk,50.91001105,4.355623167,111
2034,0,50.90635317,4.380654329,108
248,Onze-Lieve-Vrouw-Boodschapkerk,51.25102874,4.421159483,108
2032,Sint-Pieterskerk,50.85339485,4.482050969,106
1660,0,51.22918559,4.47787872,106
2434,Sint-Engelbertuskapel,50.90067863,4.314942279,103
721,Sint-Jozefskerk,50.8421845,4.482549658,103
1089,Sint-Jan-Evangelistkerk,51.17648205,4.377947044,100
2170,Sint-Jan Berchmans,51.1951121,4.475388704,99
1830,Sint-Catharina en Sint-Corneliuskerk,50.8938839,4.435834135,95
634,Broeders Maristen,50.8861356,4.74281741,94
1613,Sint-Franciscuskerk,51.24613012,4.450173612,93
1958,Sint-Eligiuskerk,51.03190078,3.763162583,92
2016,Jan Ruusbroec en Onze-Lieve-Vrouwekerk,50.79016501,4.298223154,91
2385,Heilige-Kruisverheffing-en-Sint-Jozefkerk,51.21405199,3.250014319,89
168,Heilig Hartkerk,51.24531329,4.464211058,89
1434,Sint-Jozef en Sint-Kristoffelkerk,51.20202994,3.249707119,88
1388,Sint-Jozefkerk,51.22552202,3.232260301,88
2302,Jeruzalemkerk,51.21236855,3.233714339,87
1730,0,50.9115894,4.368173902,87
1397,Sint-Franciscuskerk,51.220855,3.242448693,87
1040,Sint-Annakerk,51.21206698,3.232273131,87
2417,Sint-Magdalena en Sint-Catharinakerk,51.20520443,3.232036951,86
1336,0,51.21479866,3.250338896,86
1266,Engels Klooster Onze Lieve Vrouw van Nazareth,51.21468503,3.234271533,86
1044,Maria Assumptakerk,51.19507157,3.251598272,86
2382,Sint-Leocollege,51.21437668,3.22973331,85
1413,O-L-V-ter-Potterie,51.21936273,3.230596403,85
1123,Sint-Petruskapel,51.2262346,4.391424421,85
2449,Psychiatrisch Ziekenhuis Onze-Lieve-Vrouw,51.19731546,3.212832257,84
2420,Academie: Bogardenkapel,51.2016384,3.22693432,84
2329,Begijnhofkerk Sint-Elisabeth,51.20119834,3.223353341,84
2299,Huize Minnewater,51.19977282,3.222036661,84
2169,Sint-Jan Maria Vianneykerk,51.16857592,4.38769131,84
1956,Spermalie - Internaat De Veste,51.21910087,3.22199519,84
1449,0,51.21266004,3.224464786,84
1382,0,51.21536703,3.231380648,84
1285,Sint-Baafskerk,51.20198265,3.204623902,84
1046,Heilige Familiekerk,51.2097682,3.235122276,84
1041,St. Walburga Church,51.21144999,3.229225075,84
540,Sint-Anna-ten-DrieÃ«nkerk,51.21853274,4.381576442,84
2413,Sint-Jozefsinstituut,51.20734285,3.220862302,83
2330,Onze-Lieve-Vrouw-van-Blindekenskapel,51.20632941,3.214817079,83
2291,Church of Our Lady,51.20464248,3.224450614,83
2191,Saint Salvator's Cathedral,51.20550302,3.221570439,83
1465,Technisch Instituut Heilige Familie,51.21044461,3.217540196,83
1436,Klooster van Ongeschoeide Karmelieten,51.21293301,3.219226239,83
1426,Sint-Katarinakerk,51.19646697,3.236463415,83
1415,Sint-Godelieve,51.20338601,3.215827747,83
1410,Sint-Gilliskerk,51.21481087,3.226899268,83
1396,Basilica of the Holy Blood,51.20812208,3.226669712,83
1261,Sint-Godelieveabdij,51.20244992,3.216190695,83
1247,Kloosterkerk van de zusters redemptoristinnen,51.20160478,3.227603132,83
1045,St. James's Church,51.21056314,3.220632073,83
1036,Engelendale,51.21649425,3.221203723,83
2172,Sint-Lucaskerk,51.22522579,4.381006634,82
1212,NH Brugge,51.2037461,3.216486447,82
1034,Christus Koningkerk,51.21464952,3.207997139,82
2433,0,51.19499148,3.251912242,81
1831,Sint-Stevenskerk,50.80458595,4.28453328,81
444,0,50.88338315,4.276479858,81
105,Onze-Lieve-Vrouw van Zeven Smartenkerk,50.89484692,4.454438221,81
2380,Sint-Pauluskerk,51.22434409,3.205597899,80
2190,0,51.22443473,3.205021763,80
1786,Heilig-Kruiskerk,51.17047907,4.446794131,80
1766,Heilige Familiekerk,51.16656593,4.427306663,80
1532,Sint-Ambrosiuskerk,50.84506639,4.262646947,80
1495,Sint-Martinuskerk,50.88134383,4.473526138,80
265,Onze-Lieve-Vrouw-Boodschapkerk,51.20631134,4.490115176,80
227,Onze-Lieve-Vrouw van Smartenkerk,51.25556651,4.444785071,80
2020,Missiehuis van Scheut,50.79925803,4.283141093,79
1602,Heilige-Familiekerk,51.1734281,4.366614573,79
