name,avg_pr,lat,lon
'T Food Dilemma,13.5,51.2353899100,3.0038356460
't Gouden Frietje,7.5,51.0956525700,4.0420810430
't Hoekske,10.021103896103897,50.7270101900,4.8970526060
't Kebabske,12.1,50.8983530500,5.1375814260
't Stad Kebab,9.714285714285714,51.1532548200,4.3382795840
4 Seizoenen,13.216666666666667,51.2316977800,4.3973894620
A La Turka Berchem,7.833333333333333,51.1532548200,4.3382795840
Ada Grill & Burger,12.4,50.7683677900,5.5341610340
Adak Kebab,11.555555555555555,51.1981892000,5.4321332950
Adana Kebab,11.2,51.0110823800,4.4438124100
Adel Eethuis,13.8,51.3554041600,4.4592172450
Akym Food,7.0,50.8694805700,4.3556231670
Al Baraka,7.416666666666667,50.9913439400,4.4191012680
Aladin,12.6,50.8681117800,5.1347374220
Alex Grill House,9.875,50.8526620400,3.8894093370
Ali Baba,11.373972602739725,50.7378536600,4.4417610960
Ali Baba - Chez Assaad,9.0,50.7791684400,4.1980539020
Ali Baba Restaurant,10.200000000000001,51.1532548200,4.3382795840
Ali Baba Stalenstraat,12.333333333333334,50.9339469700,5.4215928220
Ali Baba Vennestraat,12.333333333333334,50.9339469700,5.4215928220
Ali Pizzahuis,9.0,51.2925728400,4.5603645150
Ali's Eethuis,11.333333333333334,51.0340123500,4.1895060420
Allo Pizza,9.5,50.7621792800,3.0211904420
Almina,8.0,51.1377642300,4.3365531740
Alo Pizza,13.6,51.2871757200,4.7814686620
Aly Baba,11.2,51.3554041600,4.4099018150
Amari's,8.5,51.1276260300,4.1934588240
Amber's Pizzalijn,11.0,51.0145786700,5.5180886710
Amon,10.531716417910447,51.0756953300,4.3382795840
Anatolia,11.510084033613445,50.9069830600,3.9912242780
Anatolia 23,12.1,51.2335090000,5.4635889450
Anatolia Hoogstraten,19.166666666666668,51.3290495800,4.7366529530
Anatolian Kebap,12.666666666666666,50.9730110400,4.9811167200
Anatolie's,9.5,51.0786364800,3.6599207730
Andromeda,10.216666666666667,50.9451106100,3.6199475200
Anka Kebab,12.5,50.8642901700,4.9945606240
Antalya Grill,11.0,51.2008706800,2.8584797940
Antalya Kebab,12.714285714285714,51.1400731700,4.6358307280
Antalya Pita,13.6,50.9796794800,4.0155669790
Antwerp Kebab,8.333333333333334,51.1771979000,4.3796201390
Antwerp Pizza - Pasta - Kebab,7.875,51.1771979000,4.3796201390
Apollo Pizza,10.0,50.8221507800,4.0615340600
Arabesque,11.48181818181818,51.1592430600,4.3933564210
Ararat,13.0,50.7285445800,5.0852501940
Aras Kontich Snack,9.3125,51.0780161800,4.3875931300
Asmin,12.25,51.0227006000,3.6921382470
Atlas Lunch en Grillroom,8.307692307692308,51.0786364800,3.5174148030
Atlasresto,11.0,50.8733122300,4.4301460070
Baguette & Salad Bar,11.59,50.8512546400,4.6601775720
Balen'se Kebap,12.8,51.1128729200,5.0527941630
Baskent Averbode,11.714285714285714,50.9649653200,4.8160917470
Baskent Balen,13.0,51.1468970000,5.0785273290
Baskent Meerhout,11.75,51.0295251400,4.9811167200
Baskent Nijlen,14.65,51.1370105400,4.5455455540
Baskent Peer,11.928571428571429,51.0853972100,5.3646034330
Baskent Tessenderlo,11.833333333333334,50.9730110400,5.0035922640
Bel Kebab,12.214285714285714,50.9883370600,5.1732784310
Bella Rosa,10.25,51.1057035400,4.3613778080
Bella Vita,11.24,51.2771483100,4.3653989960
Bereket Eethuis & Bakkerij,7.0,51.1592430600,4.3933564210
Best Fresh,8.99,50.7378536600,4.4827688680
Best Grill,11.978373702422145,50.7302588500,3.8224262010
Best Grill Molenbeek,9.2,50.8414296400,4.2141897290
Best Kebab,12.0,51.1647310500,2.8068032770
Best of Kebap & Pizza Dender,7.333333333333333,50.8706131800,4.0434798320
Beyzade,9.18,51.1771979000,4.3796201390
Big Bite,10.015625,51.1931041900,4.4436595890
Bodrum Palace,9.291666666666666,51.1532548200,4.3613778080
Bolifrit,7.5,51.1771979000,4.3677577180
Bosphorus,12.607558139534884,50.8176450100,3.8128560750
Boston Pizza,12.5,50.8397824300,3.8357544010
Boston Pizza & Burgers,10.5,50.8158340200,4.4358341350
Brasserie Shammy's,12.9375,51.1532548200,4.3382795840
Breughelhof Cafe Bistro,9.0,51.1195214500,4.3260761210
Broodjescorner,9.75,51.2160461900,4.6561344780
Brugge Kebab,10.444444444444445,51.0771604100,3.1591735040
Buenos Burgers,7.0,51.1777839800,4.4115476930
Burger House,10.0,50.9790859300,4.2760609880
Burger Kofte,10.5,50.9416719300,5.6808491070
Burger at Home,9.5,50.8784114500,4.4126431920
Bursa Kebab,8.5,51.0211504200,3.6199475200
Cairo One,10.375,51.1276260300,4.1934588240
Call Pizza,12.78,50.9913439400,4.4438124100
Campus & Fratelli,13.307142857142857,51.1645513600,4.3382795840
Can Snack,12.0,50.8716850500,3.8894093370
Cannur Pizza Pasta Pitta BBQ,20.844,50.9044838400,3.6935877050
Cappadocia,12.923076923076923,51.1645513600,4.3796201390
Cappadocië,10.333333333333334,50.9025148500,5.3956804470
