name,avg_pr,lat,lon
ANTWERP PIZZA-PASTA-KEBAB,7.625,51.19399575,4.393356421
Adana Kebab,9.357142857142856,51.01271115,4.449598129
Adana Kebab Brugge,9.5,51.18224581,3.194051901
Aelia Capitolina,9.3125,50.88143694,4.643938842
Al Manama,7.5,50.84142964,4.279705061
Ali Baba,7.375,50.85925787,4.662897925
Ali Baba Doner Kebab Vennestraat,10.333333333333332,50.94824105,5.448499998
Ali Baba Mechelen,8.833333333333334,51.01271115,4.441761096
Ali Baba Stalenstraat,11.666666666666668,50.96131372,5.469420098
Ali baba kebab,8.48,51.19273603,4.381006634
Amigo's,6.5,51.14943081,4.115715821
Amine Delices,7.5,50.87139585,4.26490222
Amon,12.25,51.27903445,4.453284628
Anatolia Bakkerij,7.5,51.15325482,4.338279584
Antwerp Kebab,8.333333333333334,51.19707989,4.393356421
Arabesq,11.25,51.27714831,4.404760905
B@H - Burger At Home,9.5,50.91896782,4.497067366
Baguette & Salad Bar,10.0,50.85925787,4.662897925
Barbecue Duhok,5.0,51.03366073,3.675787564
Beko's,10.0,51.15639998,4.367757718
BellaVita,10.25,51.25102874,4.404760905
Best Fresh ,8.8,50.74866891,4.472295753
Best Grill,9.125,50.84142964,4.262646947
Best Kebab,9.0,51.21177161,2.883544333
Big Bite,10.045454545454545,51.1782387,4.44180881
Bodrum Palace,9.5,51.19399575,4.381006634
Bohemian Bistro ,11.5,51.17485842,4.393356421
Bolifrit,7.5,51.17485842,4.379620139
Broodjescorner,9.277777777777779,51.30567547,4.932008898
Buenos Burgers,6.5,51.16752233,4.403243522
Campus & Fratelli,12.642857142857142,51.17164816,4.290244795
Can Snack & Grill,10.5,50.92342277,4.004172724
Cedi's Kebab House,11.0,50.93361425,3.463502981
Cesar Pizza Gent,9.333333333333334,51.01746333,3.668762094
Chez Kalender,11.25,50.85339485,4.450553204
Chicken Center,7.0,51.19273603,4.393356421
Chicken Style,10.57,51.15325482,4.338279584
Chicken World,11.0,51.02302294,3.698152652
Cicek Kebab,8.75,50.80458595,4.279705061
City Food Lounge,11.5,50.96131372,5.448499998
Compo's,9.9,50.90635317,4.355623167
Containerke,9.05,51.09977124,4.326076121
Couleur Safran,10.0,50.76695944,4.298223154
D'oude Stad,9.0,51.19399575,4.393356421
Damas Veneto,19.99,51.19273603,4.396004201
De Kapsalon,5.95,51.18668616,4.394946057
De Nijl,7.083333333333334,50.85125464,4.660177572
De Waterput,10.7,51.30567547,4.910045603
Delicio Snack,9.666666666666666,50.90635317,4.355623167
Delta Pizza,8.1,51.02246353,3.663363358
Dennis Kebab,10.9,50.99828834,5.013343138
"Dinner & you burgers, grill & more ",7.25,51.13299316,3.809953964
Donerix,10.733333333333333,51.20983038,4.401346471
Donerland,8.5,51.21966737,4.421159483
Donerland Aalst,10.5,50.92046057,4.004172724
Doy Doys,12.28888888888889,51.17047907,4.420993727
Dunya - Kebab,13.375,51.08742915,4.821211682
EALAA KAYFIK ,15.99,51.19273603,4.393356421
Eat Point,9.3,50.72854458,5.080251318
Eethuis Nazar,11.9375,51.05205014,4.977401951
Eethuis Van Gogh,8.333333333333334,51.15680387,4.382976412
Efes Mol,11.65,51.13105165,5.011869674
Egmont Snack,8.545454545454545,51.01271115,4.441761096
El Nacho's,10.75,50.92046057,4.016531514
Eldina Snack & Resto,6.75,51.21420578,4.412219136
Elit,8.425,51.19948653,4.393356421
Everest Quick Food,9.25,50.88053753,4.662897925
FRITUUR OVERPOORT,8.0,51.02302294,3.698152652
Fast2go ,8.7,51.01271115,4.449598129
Foodbar Orient Kuringen,10.5,50.91662244,5.230776515
Forty Seven,10.583333333333332,50.90746067,5.372257856
Friethouse - Merksem,7.5,51.21420578,4.404705978
Friterie Ylli - Bruxelles,9.625,50.90635317,4.355623167
Frituur De Gitschotel,8.25,51.1771979,4.403265552
Frituur nounou ,8.0,51.12407067,4.550560145
Gansho Food,7.8,50.87403071,4.276479858
Ghoshto Eethuis,9.0,51.16455136,4.394946057
Giovanniâ€™s Ekeren,10.0,51.24613012,4.404760905
Golden Friet,7.25,51.034317,3.675787564
Grand Basha Brugge,9.0,51.19731546,3.194051901
Grill Leuven,7.375,50.85925787,4.662897925
Grillhouse Seven & Ipek,8.0,51.14943081,4.115715821
Grillmixcentrum,10.0,51.02302294,3.692138247
Hapjes Time,9.13888888888889,51.30567547,4.910045603
Heuvelpoort - Frituur & Snack,12.4,51.01746333,3.698152652
Huzur Kebab,11.4,51.09888145,4.900273624
Huzur Kebab - Lille,8.375,51.16327457,4.737927699
Il Padrino,7.5,50.87139585,4.26490222
Iran Chicken Grill,11.0,51.17962222,3.180175321
Istanbul,10.785714285714286,51.10549713,4.900273624
Istanbul Eethuis,7.5,51.19273603,4.393356421
Istanbul Snacks,11.8,50.93394697,5.386725536
Istanbul pita & pizza ,8.0,51.27714831,4.404760905
Just Veggies,8.0,51.16857592,4.350791716
Kaboulsnack,7.038461538461538,50.80458595,4.279705061
Kap ou pas Kap Salon,16.4,50.78691463,4.279705061
Kebab Time,10.05,51.17962222,3.180175321
Kebab love,7.0,51.02302294,3.698152652
Kebab@Home,13.0,50.90968413,4.004172724
Kebap Food,9.0,50.87403071,4.276479858
Kebap X-Press Turnhout,10.5,51.28717572,4.881406353
King Pizza & More,8.5,51.14943081,4.115715821
King kebab,10.0,51.19499148,3.204623902
Konak,10.444444444444443,51.19908499,4.381006634
Konya kebab,9.5,51.19399575,4.381006634
La Famiglia,9.5,50.91689769,4.365588026
La Monte Carlo,9.9,51.18668616,4.345575413
La Monte Carlo - City,11.95,51.18668616,4.381006634
Liva Kebab,8.833333333333334,51.16857592,4.338279584
Lunch Halte,9.15,51.21642159,4.413007251
Mahya,7.225,51.19707989,4.396004201
Mam's Burger,9.75,50.90067863,4.314942279
Mama Eethuis,8.5,50.81586558,3.227251923
Marinah,7.5,50.84142964,4.279705061
Mcbuffet,14.0,50.87444138,3.404005889
Memo's,12.0,50.73876247,4.372596216
Merdin Kebab,10.0,50.92670652,4.679431858
Meydaan,8.8,51.11344952,4.065991175
Mi-Chaud Snack,6.46875,51.19948653,4.381006634
Mila Palace,9.285714285714285,51.21642159,4.421159483
Milano Bornem,11.4,51.07398656,4.193081122
Mimm's ,7.625,51.15325482,4.338279584
Mixor Kebab,9.0,51.19273603,4.393356421
Mks Food Like Home,9.785714285714285,50.78691463,4.277483028
Mobs Grillpizza ,10.0,50.84506639,4.245919687
Moni,12.25,51.16455136,4.403265552
Mr Ribs,10.0,51.28454525,4.404760905
Mr spare ribs,14.0,50.89835305,5.306240502
Munis Restaurant,10.833333333333332,51.01271115,4.441761096
My Pizza,9.0,50.80434338,3.227251923
My kebab - Zonhoven,17.875,50.83616294,5.175278688
NAZ Kebab,8.5,51.19273603,4.379620139
Napoli Schoten,9.5,51.24965768,4.484290816
Nemrut,10.5,50.85125464,4.672616145
New Maan,11.333333333333332,50.85925787,4.678462538
NewWay,8.75,50.85925787,4.662897925
Nrj,6.666666666666666,50.86232134,4.355623167
Only Kebap,8.525,51.198659,4.393356421
Orient Hasselt,10.9,50.86811178,5.224176952
Ottoman BBQ,8.666666666666666,51.02113174,3.630289172
PALMIRA RESTAURANT,9.0,51.19273603,4.393356421
Pacha Kebap,7.9375,50.78691463,4.233254291
Pala's Food,7.25,50.87139585,4.26490222
Pamukkale II - Pitta,9.846153846153847,51.09397662,4.174350113
Pita Cleopatra,10.4,51.15437528,4.402969054
Pita De Waterpoort,10.0,51.18401742,4.367757718
Pita Mersan,9.411764705882353,51.04113,3.900057814
Pita Moorselbaan,8.25,50.92046057,4.016531514
Pita Muradim,10.7,51.18401742,4.367757718
Pita Number 1,11.0,51.33807048,3.260674653
Pita Piramide,12.0,50.89525392,3.971507315
Pita Pizza Primax,12.1,51.27714831,4.404760905
Pita Planet Frituur,7.75,51.14943081,4.115715821
Pita Ster,11.333333333333332,51.18401742,4.367757718
Pita pocket,11.2125,51.198659,4.393356421
Pita vogelmarkt,14.7,51.18668616,4.379620139
Pitawan!,15.9,51.01271115,4.441761096
Pitta Bodrum,8.7,50.80744797,3.227251923
Pitta Bon Appetit,10.0,51.1746603,2.858479794
Pitta D'Or,9.166666666666666,50.90635317,4.355623167
Pitta De Kroon,13.5,50.92046057,4.016531514
Pitta Gizem,15.333333333333332,50.92046057,4.016531514
Pitta House,6.95,50.80434338,3.227251923
Pitta House 2,8.25,50.87403071,4.276479858
Pitta Melissa,7.375,51.01746333,3.703443208
Pitta Number 1 ,10.5,51.22320659,2.940021059
Pitta Palace,9.058823529411764,51.01271115,4.441761096
Pitta Pizza Asmin,12.25,51.04247782,3.714557373
Pitta Pizza Pamukkale II,9.846153846153847,51.09397662,4.174350113
Pitta Seker,11.25,50.88284997,3.952076336
Pitta Snack Metropol,9.333333333333334,51.01746333,3.711897535
Pitta sena,15.333333333333332,51.02113174,3.692560249
