id,name,lat,lon,rest_count
1671,"Building Z, NCIA",50.8733122300,4.4301460070,605
731,Sint-Annakerk,51.2208045500,4.4417321920,552
247,Onze-Lieve-Vrouw-ter-Sneeuwkerk,51.2164215900,4.4341209290,547
1096,Basiliek van het Heilig Hart,51.1970798900,4.4115476930,547
2174,Sint-Janskerk,51.2152961400,4.4418088100,546
2175,Heilige Familie en Sint-Corneliuskerk,51.2108850200,4.4337303830,546
154,Sint-Hubertuskerk,51.1990849900,4.4241401250,542
1800,Heilige Drievuldigheidskerk,51.2027151900,4.4436595890,539
2178,Xaveriuskerk,51.2131780600,4.4515083680,539
2161,0,51.1939957500,4.4101255930,536
526,Onze-Lieve-Vrouw van het Heilig Hartkerk,51.2098303800,4.4528423670,535
2168,Sint-Dominicuskerk,51.2142057800,4.4253885850,535
2165,Sint-Laurentiuskerk,51.1986590000,4.4032655520,534
2183,Sint-Norbertuskerk,51.2068747000,4.4310368190,534
2177,Klooster en kapel van de zusters Franciscanessen,51.2233653100,4.4385632180,533
2176,Sint-Willibrorduskerk,51.2196673700,4.4322869180,532
93,Sint-Eligiuskerk,51.2253356700,4.4352738100,531
493,Sint-Willibrorduskerk,51.1927360300,4.4209937270,531
1106,0,51.1994865300,4.3949460570,530
1128,0,51.1957278000,4.4515648240,528
559,Heilig-Hartkerk,51.2208987800,4.4222892300,527
669,Heilige Geestkerk,51.2058048100,4.4107303280,526
305,Kapel van het Allerheiligste Sacrament,51.2092519400,4.4096049750,524
763,Heilig-Sacramentskerk,51.1947196900,4.4427518060,524
1705,Sint-Amanduskerk,51.2263168600,4.4236596220,523
202,Sint-Lambertuskerk,51.2317790500,4.4281696000,522
2182,De Verrezen Heer,51.1882929100,4.4353740350,517
264,Onze-Lieve-Vrouw Middelares en Sint-Lodewijk,51.1866861600,4.4262316150,515
814,Sint Michielskerk,51.2052007400,4.3933564210,515
1125,WZC Sint-Anna,51.1797081400,4.4285789060,511
2166,Sint-Antoniuskerk,51.2252029700,4.4130072510,511
1104,Kapucijnenklooster,51.2216186200,4.4146490730,510
1076,Sint-Catharinakerk,51.2229572400,4.4145143290,509
1546,Sint-Theresia,51.1777839800,4.4361674680,509
2164,Protestants Evangelische kerk,51.2236224000,4.4122191360,507
699,Sint-Walburgiskerk,51.2104302400,4.3960042010,504
1047,Sint-Jacobskerk,51.2201318100,4.4105742110,503
1110,Sint-Joriskerk,51.2126202300,4.4047220720,501
1132,Sint-Annakapel,51.2217491900,4.4074131140,500
1092,Zusters Karmelietessen,51.2136808200,4.4032435220,499
1095,Sint-Carolus Borromeuskerk,51.2209772300,4.4047059780,498
1080,0,51.2203325100,4.4036857950,497
346,Cathedral of Our Lady,51.2203206700,4.4012943950,496
354,Sint-Andrieskerk,51.2164812000,4.3979698380,496
2179,Sint-Pauluskerk,51.2239223900,4.4013464710,496
764,0,51.2302007700,4.4484041480,495
2171,Blijde-Boodschapkerk,51.2330914400,4.4498955240,491
511,Sint-Fredeganduskerk,51.2209107200,4.4549284530,485
927,Sint-Pauluskerk,51.2223915700,4.4605762210,480
