,Restaurant_Name,lat,lon,source
0,SinSin,51.04991,3.72179,ubereats
1,Bamboo sushi & Bar,51.16522,4.14162,ubereats
2,Schievelavabo - Uccle,50.7917413,4.3314926,ubereats
3,Himalaya,51.0579436,3.723776,ubereats
4,Egmont Snack,51.02239,4.48192,ubereats
5,Fitchen Korenmarkt,51.0555,3.72196,ubereats
6,Star Sushi Asian cuisine - Kermt,50.94388263353016,5.151280984430894,ubereats
7,Burger King - Waterloo,50.71092,4.4017,ubereats
8,Frituur Hazegras,51.2257515,2.9241447,ubereats
9,Donuttello,51.32214,4.9439,ubereats
10,Dash'd Burgers,51.04867,3.73388,ubereats
11,CASPER - Gent,51.04867,3.73388,ubereats
12,Dunkin' Hasselt,50.92969,5.33759,ubereats
13,Wabi Sushi,51.19789,4.42563,ubereats
14,Stuffed!,50.88011,4.70561,ubereats
15,Poule & Poulette - Antwerpen Godefriduskaai,51.22784,4.4056,ubereats
16,Le Pain Quotidien - Overijse,50.78916,4.49213,ubereats
17,Django,51.06081,3.7482,ubereats
18,Frituur Mc Minute,50.92882,5.3389,ubereats
19,McDonald's - Hasselt Centrum,50.92748,5.33662,ubereats
20,Pasta la vista,51.0476864,3.7216317,ubereats
21,Baret Rotisserie & Grill,51.2206237,4.4027314,ubereats
22,Osaka Sushi Takeaway,51.2059862,4.3963572,ubereats
23,Heli's,50.87717,4.70435,ubereats
24,Steakhouse Grill Garden,51.27824,4.45353,ubereats
25,Vers - Eilandje,51.2272765,4.4053328,ubereats
26,Thai Zen,51.202954,3.22538,ubereats
27,McDonald's - Machelen,50.9129,4.43173,ubereats
28,K&B - Kitchen & Bar at Courtyard,50.86937,4.40478,ubereats
29,Pizza Posto,50.87601,4.70914,ubereats
30,Huzur Kebab,51.16082,4.99106,ubereats
31,PokaÃ¯ - Waterloo,50.7188868,4.3977058,ubereats
32,Porto Fino,50.880646,4.6944504,ubereats
33,Morepizzaâ€™s ,51.25321,4.45298,ubereats
34,One Thai,51.24768,4.43283,ubereats
35,Snackhalte,51.03928,3.72572,ubereats
36,Rebel Kitchens,51.21043,4.39441,ubereats
37,Urban pizza,51.05315,3.74613,ubereats
38,Broodjescorner,51.31533,4.94977,ubereats
39,My wok ,51.22647,4.4364,ubereats
40,Falafel Habibi,50.883,4.72229,ubereats
41,Shuk,51.221597,4.4049514,ubereats
42,Tandoori Masala Restaurant,50.87814,4.70217,ubereats
43,McDonald's - Wijnegem,51.2222,4.50177,ubereats
44,McDonald's - Genk,50.9633,5.47089,ubereats
45,Pizza Di Mamma,50.87766,4.40903,ubereats
46,Njoy!,51.2158679,4.4455738,ubereats
47,Royal Donuts - Asse,50.91253,4.1961,ubereats
48,Pizza Pronto Stabroek,51.3302,4.36807,ubereats
49,Pizza Forty-Five,51.31331,4.88846,ubereats
50,Quick - Keyserlei,51.21769,4.4169822,ubereats
51,BARNEYâ€™s BURGERS,51.04886,3.734,ubereats
52,Carrefour Express - Sint-Stevens Woluwe,50.86797,4.45202,ubereats
53,Lagash Genk,51.00148,5.50826,ubereats
54,Friterie Stalle,50.79315,4.32007,ubereats
55,Jesse Noppen 't Dagelijks Broodjes,50.876704,4.6828076,ubereats
56,BARNEYâ€™s BURGERS,50.878688183072775,4.700042998942305,ubereats
57,Flavours of India,51.22124,4.39791,ubereats
58,Pizza Pasta Locale,51.2233233,4.4369035,ubereats
59,Annapurna,50.87354,4.71542,ubereats
60,ROB The Gourmet's Market,50.8373,4.43427,ubereats
61,Balls & Glory - Antwerpen,51.2151302,4.4097627,ubereats
62,Curry Masala,51.03824,4.4735394,ubereats
63,Chickenland Genk,50.95324,5.49968,ubereats
64,De Appel,50.87816,4.70826,ubereats
65,I Love Pizza ðŸ•,50.8735924,4.3133016,ubereats
66,Pita Number 1,51.34269,3.28807,ubereats
67,Om Sushi,50.89689,4.35851,ubereats
68,Deluxe Burger,50.94006,4.03699,ubereats
69,Faits Divers,51.0549251,3.7216213,ubereats
70,Bar Jan Cremer ,51.0413617,3.7256588,ubereats
